STORE_LOCATION,PRODUCT_CATEGORY,TOTAL_REVENUE,TOTAL_QUANTITY_SOLD,NUMBER_OF_TRANSACTIONS,UNIQUE_PRODUCTS_SOLD,MONTH_ID,DAY_OF_WEEK,TIME_BUCKET
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-05-08,Mon,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-05-09,Tue,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-05-10,Wed,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-05-16,Tue,Afternoon
Astoria,Loose Tea,8.95,1,1,1,2023-05-16,Tue,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-05-16,Tue,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-05-19,Fri,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-05-21,Sun,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-05-22,Mon,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-05-31,Wed,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-06-09,Fri,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-06-10,Sat,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-06-11,Sun,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-06-12,Mon,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-06-16,Fri,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-06-16,Fri,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-06-17,Sat,Afternoon
Astoria,Loose Tea,8.95,1,1,1,2023-06-19,Mon,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-06-19,Mon,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-06-21,Wed,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-06-22,Thu,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-06-24,Sat,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-06-25,Sun,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-06-30,Fri,Afternoon
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-06-30,Fri,Afternoon
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-01-07,Sat,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-01-08,Sun,Evening
Astoria,Loose Tea,8.95,1,1,1,2023-01-09,Mon,Morning
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-01-09,Mon,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-01-14,Sat,Morning
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-01-15,Sun,Morning
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-01-18,Wed,Evening
Astoria,Loose Tea,8.95,1,1,1,2023-01-19,Thu,Morning
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-01-20,Fri,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-01-18,Wed,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-01-22,Sun,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-01-23,Mon,Morning
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-01-23,Mon,Morning
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-01-24,Tue,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-01-26,Thu,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-02-08,Wed,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-02-08,Wed,Morning
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-02-10,Fri,Morning
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-02-10,Fri,Morning
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-02-09,Thu,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-02-11,Sat,Evening
Astoria,Loose Tea,8.95,1,1,1,2023-02-14,Tue,Evening
Astoria,Loose Tea,8.95,1,1,1,2023-02-16,Thu,Evening
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-02-18,Sat,Morning
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-02-21,Tue,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-02-21,Tue,Morning
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-02-23,Thu,Morning
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-02-24,Fri,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-02-25,Sat,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-03-07,Tue,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-03-08,Wed,Evening
Astoria,Loose Tea,8.95,1,1,1,2023-03-09,Thu,Morning
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-03-09,Thu,Morning
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-03-21,Tue,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-03-21,Tue,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-03-22,Wed,Morning
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-03-24,Fri,Morning
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-03-24,Fri,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-03-26,Sun,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-03-30,Thu,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-03-31,Fri,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-04-08,Sat,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-04-11,Tue,Morning
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-04-13,Thu,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-04-14,Fri,Morning
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-04-15,Sat,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-04-16,Sun,Evening
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-04-17,Mon,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-04-18,Tue,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-04-18,Tue,Evening
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-04-20,Thu,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-04-21,Fri,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-04-21,Fri,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-04-25,Tue,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-04-30,Sun,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-05-08,Mon,Evening
Astoria,Loose Tea,8.95,1,1,1,2023-05-09,Tue,Evening
Astoria,Loose Tea,8.95,1,1,1,2023-05-11,Thu,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-05-13,Sat,Evening
Astoria,Loose Tea,8.95,1,1,1,2023-05-14,Sun,Evening
Astoria,Loose Tea,8.95,1,1,1,2023-05-16,Tue,Evening
Astoria,Loose Tea,8.95,1,1,1,2023-05-18,Thu,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-05-18,Thu,Evening
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-05-21,Sun,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-05-21,Sun,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-05-22,Mon,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-05-24,Wed,Morning
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-05-26,Fri,Evening
Astoria,Loose Tea,8.95,1,1,1,2023-05-31,Wed,Evening
Astoria,Loose Tea,8.95,1,1,1,2023-06-11,Sun,Evening
Astoria,Loose Tea,8.95,1,1,1,2023-06-14,Wed,Evening
Astoria,Loose Tea,8.95,1,1,1,2023-06-16,Fri,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-06-18,Sun,Evening
Lower Manhattan,Loose Tea,8.95,1,1,1,2023-06-20,Tue,Morning
Astoria,Loose Tea,8.95,1,1,1,2023-06-21,Wed,Evening
Astoria,Loose Tea,8.95,1,1,1,2023-06-21,Wed,Morning
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-06-22,Thu,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-06-24,Sat,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-06-25,Sun,Evening
Hell's Kitchen,Loose Tea,8.95,1,1,1,2023-06-26,Mon,Evening
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-01-08,Sun,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-01-10,Tue,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-01-10,Tue,Morning
Astoria,Packaged Chocolate,7.6,1,1,1,2023-01-12,Thu,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-01-12,Thu,Morning
Astoria,Packaged Chocolate,7.6,1,1,1,2023-01-14,Sat,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-01-14,Sat,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-01-15,Sun,Afternoon
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-01-16,Mon,Morning
Astoria,Packaged Chocolate,7.6,1,1,1,2023-01-16,Mon,Afternoon
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-01-19,Thu,Morning
Astoria,Packaged Chocolate,7.6,1,1,1,2023-01-20,Fri,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-01-23,Mon,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-01-25,Wed,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-01-30,Mon,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-02-07,Tue,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-02-09,Thu,Afternoon
Astoria,Packaged Chocolate,7.6,1,1,1,2023-02-09,Thu,Afternoon
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-02-11,Sat,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-02-13,Mon,Afternoon
Astoria,Packaged Chocolate,7.6,1,1,1,2023-02-14,Tue,Morning
Astoria,Packaged Chocolate,7.6,1,1,1,2023-02-15,Wed,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-02-15,Wed,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-02-18,Sat,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-02-20,Mon,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-02-20,Mon,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-02-24,Fri,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-02-25,Sat,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-02-26,Sun,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-03-07,Tue,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-03-08,Wed,Evening
Astoria,Packaged Chocolate,7.6,1,1,1,2023-03-09,Thu,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-03-09,Thu,Afternoon
Astoria,Packaged Chocolate,7.6,1,1,1,2023-03-11,Sat,Afternoon
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-03-13,Mon,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-03-13,Mon,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-03-15,Wed,Morning
Astoria,Packaged Chocolate,7.6,1,1,1,2023-03-19,Sun,Morning
Astoria,Packaged Chocolate,7.6,1,1,1,2023-03-20,Mon,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-03-20,Mon,Afternoon
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-03-22,Wed,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-03-23,Thu,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-03-30,Thu,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-03-31,Fri,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-04-08,Sat,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-04-08,Sat,Evening
Astoria,Packaged Chocolate,7.6,1,1,1,2023-04-09,Sun,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-04-10,Mon,Morning
Astoria,Packaged Chocolate,7.6,1,1,1,2023-04-10,Mon,Afternoon
Astoria,Packaged Chocolate,7.6,1,1,1,2023-04-11,Tue,Afternoon
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-04-11,Tue,Afternoon
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-04-13,Thu,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-04-13,Thu,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-04-15,Sat,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-04-15,Sat,Afternoon
Astoria,Packaged Chocolate,7.6,1,1,1,2023-04-16,Sun,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-04-16,Sun,Afternoon
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-04-17,Mon,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-04-20,Thu,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-04-20,Thu,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-04-21,Fri,Afternoon
Astoria,Packaged Chocolate,7.6,1,1,1,2023-04-21,Fri,Afternoon
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-04-22,Sat,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-04-24,Mon,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-04-25,Tue,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-04-26,Wed,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-04-30,Sun,Afternoon
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-05-09,Tue,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-05-09,Tue,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-05-10,Wed,Morning
Astoria,Packaged Chocolate,7.6,1,1,1,2023-05-10,Wed,Afternoon
Astoria,Packaged Chocolate,7.6,1,1,1,2023-05-11,Thu,Afternoon
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-05-13,Sat,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-05-13,Sat,Afternoon
Astoria,Packaged Chocolate,7.6,1,1,1,2023-05-14,Sun,Morning
Astoria,Packaged Chocolate,7.6,1,1,1,2023-05-14,Sun,Afternoon
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-05-15,Mon,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-05-15,Mon,Morning
Astoria,Packaged Chocolate,7.6,1,1,1,2023-05-17,Wed,Morning
Astoria,Packaged Chocolate,7.6,1,1,1,2023-05-19,Fri,Morning
Astoria,Packaged Chocolate,7.6,1,1,1,2023-05-20,Sat,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-05-20,Sat,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-05-20,Sat,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-05-20,Sat,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-05-21,Sun,Afternoon
Astoria,Packaged Chocolate,7.6,1,1,1,2023-05-21,Sun,Afternoon
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-05-22,Mon,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-05-24,Wed,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-05-24,Wed,Evening
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-05-26,Fri,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-05-26,Fri,Morning
Astoria,Packaged Chocolate,7.6,1,1,1,2023-05-30,Tue,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-05-30,Tue,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-05-31,Wed,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-06-08,Thu,Evening
Astoria,Packaged Chocolate,7.6,1,1,1,2023-06-09,Fri,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-06-09,Fri,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-06-09,Fri,Afternoon
Astoria,Packaged Chocolate,7.6,1,1,1,2023-06-11,Sun,Afternoon
Astoria,Packaged Chocolate,7.6,1,1,1,2023-06-12,Mon,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-06-13,Tue,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-06-15,Thu,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-06-15,Thu,Afternoon
Astoria,Packaged Chocolate,7.6,1,1,1,2023-06-16,Fri,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-06-16,Fri,Afternoon
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-06-17,Sat,Morning
Astoria,Packaged Chocolate,7.6,1,1,1,2023-06-17,Sat,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-06-18,Sun,Afternoon
Astoria,Packaged Chocolate,7.6,1,1,1,2023-06-20,Tue,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-06-20,Tue,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-06-21,Wed,Afternoon
Astoria,Packaged Chocolate,7.6,1,1,1,2023-06-21,Wed,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-06-22,Thu,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-06-22,Thu,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-06-24,Sat,Morning
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-06-24,Sat,Evening
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-06-25,Sun,Afternoon
Lower Manhattan,Packaged Chocolate,7.6,1,1,1,2023-06-26,Mon,Morning
Hell's Kitchen,Packaged Chocolate,7.6,1,1,1,2023-06-26,Mon,Morning
Lower Manhattan,Branded,14,1,1,1,2023-01-08,Sun,Morning
Astoria,Branded,14,1,1,1,2023-01-08,Sun,Evening
Astoria,Branded,14,1,1,1,2023-01-11,Wed,Morning
Lower Manhattan,Branded,14,1,1,1,2023-01-15,Sun,Morning
Lower Manhattan,Branded,14,1,1,1,2023-01-16,Mon,Morning
Astoria,Branded,14,1,1,1,2023-01-16,Mon,Morning
Lower Manhattan,Branded,14,1,1,1,2023-01-18,Wed,Morning
Hell's Kitchen,Branded,14,1,1,1,2023-01-18,Wed,Morning
Hell's Kitchen,Branded,14,1,1,1,2023-01-20,Fri,Morning
Lower Manhattan,Branded,14,1,1,1,2023-01-23,Mon,Afternoon
Astoria,Branded,14,1,1,1,2023-01-30,Mon,Morning
Lower Manhattan,Branded,14,1,1,1,2023-02-08,Wed,Morning
Astoria,Branded,14,1,1,1,2023-02-11,Sat,Morning
Astoria,Branded,14,1,1,1,2023-02-11,Sat,Afternoon
Astoria,Branded,14,1,1,1,2023-02-11,Sat,Evening
Hell's Kitchen,Branded,14,1,1,1,2023-02-12,Sun,Evening
Astoria,Branded,14,1,1,1,2023-02-15,Wed,Morning
Lower Manhattan,Branded,14,1,1,1,2023-02-16,Thu,Morning
Lower Manhattan,Branded,14,1,1,1,2023-02-18,Sat,Morning
Hell's Kitchen,Branded,14,1,1,1,2023-02-18,Sat,Morning
Astoria,Branded,14,1,1,1,2023-02-18,Sat,Morning
Astoria,Branded,14,1,1,1,2023-02-19,Sun,Morning
Astoria,Branded,14,1,1,1,2023-02-19,Sun,Afternoon
Lower Manhattan,Branded,14,1,1,1,2023-02-20,Mon,Afternoon
Hell's Kitchen,Branded,14,1,1,1,2023-02-21,Tue,Afternoon
Lower Manhattan,Branded,14,1,1,1,2023-02-23,Thu,Morning
Hell's Kitchen,Branded,14,1,1,1,2023-02-20,Mon,Evening
Lower Manhattan,Branded,14,1,1,1,2023-03-08,Wed,Morning
Astoria,Branded,14,1,1,1,2023-03-08,Wed,Evening
Lower Manhattan,Branded,14,1,1,1,2023-03-13,Mon,Morning
Lower Manhattan,Branded,14,1,1,1,2023-03-16,Thu,Morning
Hell's Kitchen,Branded,14,1,1,1,2023-03-16,Thu,Morning
Hell's Kitchen,Branded,14,1,1,1,2023-03-18,Sat,Morning
Lower Manhattan,Branded,14,1,1,1,2023-03-18,Sat,Afternoon
Lower Manhattan,Branded,14,1,1,1,2023-03-24,Fri,Morning
Lower Manhattan,Branded,14,1,1,1,2023-03-24,Fri,Afternoon
Lower Manhattan,Branded,14,1,1,1,2023-03-26,Sun,Morning
Hell's Kitchen,Branded,14,1,1,1,2023-03-30,Thu,Afternoon
Lower Manhattan,Branded,14,1,1,1,2023-03-31,Fri,Morning
Lower Manhattan,Branded,14,1,1,1,2023-04-08,Sat,Morning
Lower Manhattan,Branded,14,1,1,1,2023-04-08,Sat,Afternoon
Astoria,Branded,14,1,1,1,2023-04-08,Sat,Evening
Hell's Kitchen,Branded,14,1,1,1,2023-04-12,Wed,Evening
Hell's Kitchen,Branded,14,1,1,1,2023-04-15,Sat,Afternoon
Astoria,Branded,14,1,1,1,2023-04-16,Sun,Morning
Astoria,Branded,14,1,1,1,2023-04-16,Sun,Afternoon
Hell's Kitchen,Branded,14,1,1,1,2023-04-17,Mon,Morning
Lower Manhattan,Branded,14,1,1,1,2023-04-18,Tue,Afternoon
Hell's Kitchen,Branded,14,1,1,1,2023-04-18,Tue,Afternoon
Hell's Kitchen,Branded,14,1,1,1,2023-04-19,Wed,Morning
Lower Manhattan,Branded,14,1,1,1,2023-04-19,Wed,Morning
Lower Manhattan,Branded,14,1,1,1,2023-04-19,Wed,Afternoon
Hell's Kitchen,Branded,14,1,1,1,2023-04-20,Thu,Evening
Hell's Kitchen,Branded,14,1,1,1,2023-04-21,Fri,Morning
Hell's Kitchen,Branded,14,1,1,1,2023-04-21,Fri,Afternoon
Lower Manhattan,Branded,14,1,1,1,2023-04-23,Sun,Morning
Lower Manhattan,Branded,14,1,1,1,2023-04-23,Sun,Afternoon
Lower Manhattan,Branded,14,1,1,1,2023-04-25,Tue,Afternoon
